px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
1.42808	-9.07724e-11	1.80502	-1.05646e-09	-1.10079e-09	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	22.4032
1.4682	-8.94668e-11	1.87528	-1.03565e-09	-1.07611e-09	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	1.70197
3.85126	-0.12097	2.44196	-0.099472	-0.068782	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	2.45869
3.88342	-0.119843	2.47341	-0.0985609	-0.0681835	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	1.28873
6.82851	0.37841	2.92178	0.278183	0.220179	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	5.26916
6.78967	0.377745	2.86085	0.276721	0.220796	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.60547
9.10666	0.63019	2.24893	0.187899	0.0213298	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	4.04137
9.09168	0.630349	2.25179	0.190164	0.0229836	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	0.4609
11.5543	1.63309	2.68275	0.493457	0.210843	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	2.65914
11.5417	1.63114	2.66968	0.493798	0.21097	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.188806
13.61	2.35003	2.12452	0.419475	0.0332587	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	3.23746
13.6131	2.35136	2.15459	0.417648	0.0311305	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.232633
16.5743	2.91958	3.00492	0.0100855	-0.255028	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	8.45624
16.5452	2.91356	2.96328	0.0135687	-0.253354	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.946524
19.0424	3.66996	2.43026	0.235354	0.0436882	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	5.31598
19.0754	3.67656	2.46767	0.239885	0.0468185	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.258
21.3351	4.71101	2.48226	0.509995	0.197231	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.928069
21.365	4.71636	2.53634	0.506991	0.193641	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.98329
24.0452	5.58969	2.77094	0.284201	-0.0781045	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	3.34317
24.1003	5.60282	2.8434	0.273543	-0.0853295	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.42806
26.6142	6.93589	2.81007	0.530772	0.139551	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	1.99593
26.6095	6.93375	2.82031	0.52901	0.136849	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.142278
29.5519	8.09779	3.16544	0.333976	-0.0883624	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	2.75139
29.5474	8.09628	3.15258	0.334746	-0.0877776	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.0337725
31.9699	9.85528	2.86625	0.677662	0.199022	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	3.85851
31.9468	9.84748	2.84835	0.676407	0.196999	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.775916
34.5941	10.7484	2.56137	0.291484	-0.198119	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	6.93631
34.6433	10.7648	2.63414	0.280768	-0.205415	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.84332
37.1402	12.0496	2.75716	0.495916	0.0776435	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	3.34208
37.1798	12.0616	2.81749	0.497351	0.0779028	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.81413
40.283	13.4569	3.48076	0.393714	-0.0475022	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	3.46862
40.2517	13.4462	3.41907	0.397473	-0.0444493	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.1728
42.8026	14.8331	2.89757	0.495867	0.0497148	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	2.18166
42.7898	14.8284	2.89783	0.495322	0.0485202	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.358075
45.3484	16.5372	3.12487	0.645	0.117746	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.539399
45.3736	16.546	3.15708	0.64241	0.115546	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.77737
48.1544	17.3342	2.64929	0.24341	-0.228223	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	6.41467
48.1428	17.3308	2.64498	0.245762	-0.226298	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.214851
50.625	19.0069	2.75801	0.706828	0.244959	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	9.11597
50.6166	19.0018	2.76473	0.703051	0.240328	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.253346
53.6745	19.9387	2.86493	0.156732	-0.281653	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	11.0396
53.6596	19.933	2.8455	0.159891	-0.279645	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.275909
56.0595	21.0496	2.47087	0.400511	0.0634178	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	5.84641
56.0437	21.0427	2.46674	0.397139	0.0602781	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.46826
58.6395	21.7929	2.73541	0.249349	-0.0806753	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	1.25481
58.6411	21.7938	2.74349	0.249594	-0.0802624	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.0123403
60.8958	22.7738	2.44067	0.406913	0.0726287	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	1.55933
60.883	22.7685	2.44067	0.40543	0.0712477	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.353246
63.3645	23.4242	2.57271	0.225642	-0.0958617	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	1.24134
63.4055	23.4391	2.61486	0.223487	-0.0976946	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.23535
66.3134	23.9891	3.03124	0.144244	-0.0831649	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.1559
66.2714	23.9729	2.94643	0.137413	-0.0898248	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.17722
68.3201	24.3577	2.06908	0.135098	-0.033797	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	5.20889
68.3607	24.3722	2.13804	0.1411	-0.0288591	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.94758
70.8025	24.8685	2.5412	0.225455	0.0469134	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	1.33464
70.7891	24.8639	2.50999	0.223128	0.0448792	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.235245
72.9162	24.7465	2.04563	-0.0619922	-0.162705	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	3.1575
72.939	24.7548	2.08119	-0.0596696	-0.160335	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.619788
74.9993	25.2122	2.0208	0.238921	0.138532	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	3.74301
74.9952	25.2108	2.01775	0.237741	0.137728	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0225144
77.11	24.9791	1.99319	-0.1629	-0.198532	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	4.63396
77.1202	24.9816	1.99649	-0.164264	-0.200572	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.181994
79.1027	25.0046	1.95934	-0.0190638	0.0146919	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.89342
79.1067	25.006	1.95726	-0.0180671	0.0150847	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0423115
80.8219	24.8756	1.74132	-0.0757257	-0.0287431	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.397102
80.848	24.8836	1.76047	-0.070984	-0.0267067	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	0.95877
82.6183	24.6457	1.82005	-0.15811	-0.0636593	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0797325
82.6115	24.6434	1.80325	-0.161391	-0.0667053	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.0689018
84.1845	24.5355	1.58903	-0.0918443	0.0148159	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.563543
84.1887	24.5367	1.59444	-0.0903724	0.0158072	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.0202493
85.6459	23.8523	1.53949	-0.495653	-0.238606	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	2.74
85.6733	23.8604	1.57414	-0.486109	-0.231628	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.872237
86.9428	23.4902	1.28102	-0.395897	-0.0445443	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.9781
87.0026	23.5061	1.32858	-0.359955	-0.0224647	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	4.34951
88.783	22.8029	1.9841	-0.382531	-0.0268129	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	2.80971
88.7507	22.794	1.93781	-0.405168	-0.0436334	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.15803
89.5607	22.2872	0.923651	-0.529063	-0.0948658	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	6.86293
89.5858	22.2935	0.951858	-0.517921	-0.0876319	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.714392
90.5059	21.6783	1.13552	-0.637738	-0.10632	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.237638
90.5454	21.686	1.1758	-0.605082	-0.0849594	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.87972
91.6977	21.1046	1.31763	-0.467422	0.0334542	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.65871
91.7359	21.1133	1.33736	-0.440466	0.0466205	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	1.96403
92.8628	20.9266	1.11965	-0.151509	0.180791	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	1.01948
92.9048	20.9364	1.14584	-0.129773	0.191839	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.32025
93.5049	20.2854	0.629817	-0.555233	-0.154458	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	6.86296
93.5329	20.2918	0.674163	-0.545775	-0.147565	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0.912266
95.2021	19.624	1.87421	-0.161293	0.151955	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	14.3324
95.1365	19.6154	1.76839	-0.237385	0.105891	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	4.99547
95.5926	19.6741	0.39506	-0.042877	0.168613	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	12.4774
95.5957	19.6735	0.419866	-0.0428427	0.169326	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.147959
96.2432	19.3222	0.645254	-0.410301	-0.123369	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	9.1454
96.2651	19.3262	0.678138	-0.403255	-0.118486	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.534126
97.4814	18.7467	1.44673	-0.525956	-0.112147	97.5286	18.727	97.45	18.506	0.868716	-0.503009	3.87777
97.4741	18.7442	1.43109	-0.539191	-0.120342	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.0758879
98.2395	18.3487	0.864659	-0.573532	-0.0800636	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	2.15219
98.2532	18.3512	0.880153	-0.564996	-0.0754671	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.204005
99.0486	17.4141	1.23271	-1.0043	-0.281556	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	2.80447
99.0443	17.4161	1.23813	-0.995188	-0.271144	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0.291616
99.9642	16.9461	0.86084	-0.66326	0.0408645	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	4.19177
100.009	16.9528	0.885859	-0.620642	0.0643157	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	2.27523
101.16	16.5135	1.23383	-0.231619	0.235377	101.204	16.5368	101.065	16.497	0.991362	-0.513687	2.25747
101.157	16.5139	1.21915	-0.234376	0.23255	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.0558482
102.382	16.397	1.27822	0.0308058	0.249458	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.0337601
102.344	16.3915	1.22384	0.0204215	0.243351	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.56391
103.036	15.4548	0.542623	-0.676999	-0.27112	103.003	15.353	103.119	15.4967	1.11708	-0.508169	13.9485
103.011	15.4533	0.542573	-0.672559	-0.265826	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	1.40076
103.977	15.173	0.957931	-0.193395	0.144554	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	12.0946
103.969	15.1715	0.967897	-0.19951	0.141435	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.251312
105.495	14.4924	1.7464	-0.589283	-0.123464	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	6.20109
105.471	14.4882	1.71812	-0.60014	-0.129295	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.604299
106.834	14.0197	1.40551	-0.393	0.0390337	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	1.66135
106.802	14.0145	1.38997	-0.407994	0.0316275	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.36664
108.081	13.6466	1.34634	-0.250189	0.107439	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.238168
108.088	13.6471	1.36578	-0.246123	0.110866	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0859536
109.525	13.5574	1.46712	0.0235339	0.200614	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.387962
109.507	13.5553	1.45058	0.0189302	0.198043	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.343462
111.053	12.6635	1.4767	-0.642839	-0.289739	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	9.49597
111.093	12.6719	1.54247	-0.634141	-0.280207	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	1.9136
112.856	12.4278	1.52515	-0.0703005	0.212292	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	9.41881
112.857	12.4263	1.54133	-0.0697897	0.212504	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.0687091
114.771	12.5459	1.98779	0.192397	0.232646	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	1.34901
114.781	12.5474	1.98881	0.193977	0.233238	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.172526
116.69	12.1533	1.72484	-0.176168	-0.119406	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	5.128
116.709	12.1572	1.76936	-0.175888	-0.117275	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.476786
118.915	11.984	2.26629	-0.0575421	0.0351894	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	2.50575
118.912	11.9838	2.25764	-0.0584698	0.0344698	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.0146506
120.723	12.2751	1.81335	0.183139	0.162134	120.695	12.2918	120.743	12.3289	2.21139	0.128528	1.87716
120.745	12.2766	1.85495	0.184176	0.162432	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.512091
